title,type,topic,level,url,tags
Python for Everybody,Book,Python,Beginner,https://www.py4e.com/book,"python, beginner, book"
Automate the Boring Stuff with Python,Book,Python,Beginner,https://automatetheboringstuff.com/,"python, beginner, automation, book"
Official Python Documentation,Documentation,Python,All,https://docs.python.org/3/,"python, documentation"
LeetCode Python Problems,Problem Set,Python,Intermediate,https://leetcode.com/problemset/all/?topicSlugs=python,"python, problems, leetcode"
Corey Schafer Python Tutorials,YouTube Video,Python,Beginner,https://www.youtube.com/user/schafer5,"python, youtube, tutorial"
Java Programming and Software Engineering Fundamentals (Coursera),Course,Java,Beginner,https://www.coursera.org/specializations/java-programming,"java, course, beginner"
Effective Java by Joshua Bloch,Book,Java,Advanced,https://www.oreilly.com/library/view/effective-java-3rd/9780134686097/,"java, book, advanced"
Official Java Documentation,Documentation,Java,All,https://docs.oracle.com/javase/8/docs/,"java, documentation"
Java Programming Tutorial - Derek Banas,YouTube Video,Java,Beginner,https://www.youtube.com/watch?v=Hl-zzrqQoSE,"java, youtube, tutorial"
LeetCode Java Problems,Problem Set,Java,Intermediate,https://leetcode.com/problemset/all/?topicSlugs=java,"java, problems, leetcode"
GeeksforGeeks Data Structures,Website,Data Structures,Beginner,https://www.geeksforgeeks.org/data-structures/,"data structures, gfg, beginner"
MIT OpenCourseWare - Data Structures,Course,Data Structures,Intermediate,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-fall-2011/,"data structures, mit, algorithms"
LeetCode Data Structures,Problem Set,Data Structures,Intermediate,https://leetcode.com/problemset/all/?topicSlugs=data-structures,"data structures, leetcode, problems"
Data Structures and Algorithms in C++,Book,Data Structures,Advanced,https://www.amazon.com/Structures-Algorithms-Addison-Wesley-Computer-Science/dp/0201633620,"data structures, algorithms, book"
Abdul Bari Data Structures YouTube,YouTube Video,Data Structures,Beginner,https://www.youtube.com/playlist?list=PLfqMhTWNBTe0b2nM6JHVCnAkhQRGiZMSJ,"data structures, youtube, tutorial"
Operating System Concepts (Silberschatz),Book,Operating Systems,Intermediate,https://www.os-book.com/,"os, book, intermediate"
GeeksforGeeks OS Tutorials,Website,Operating Systems,Beginner,https://www.geeksforgeeks.org/operating-systems/,"os, gfg, beginner"
Operating Systems - Neso Academy,YouTube Video,Operating Systems,Beginner,https://www.youtube.com/playlist?list=PLBlnK6fEyqRjEETjhG7UUtgPOVxJoxdRs,"os, youtube, tutorial"
OSTEP (Operating Systems: Three Easy Pieces),Book,Operating Systems,Intermediate,https://pages.cs.wisc.edu/~remzi/OSTEP/,"os, book, free"
MIT OS Course,Course,Operating Systems,Advanced,https://ocw.mit.edu/courses/6-828-operating-system-engineering-fall-2012/,"os, mit, course"
C++ Primer (5th Edition),Book,C++,Beginner,https://www.informit.com/store/c-plus-plus-primer-9780321714114,"c++, book, beginner"
LearnCpp.com,Website,C++,Beginner,https://www.learncpp.com/,"c++, website, tutorial"
Official C++ Reference,Documentation,C++,All,https://en.cppreference.com/w/,"c++, documentation"
C++ Programming Tutorial - FreeCodeCamp,YouTube Video,C++,Beginner,https://www.youtube.com/watch?v=vLnPwxZdW4Y,"c++, youtube, beginner"
LeetCode C++ Problems,Problem Set,C++,Intermediate,https://leetcode.com/problemset/all/?topicSlugs=cplusplus,"c++, problems, leetcode"
Calculus by James Stewart,Book,Calculus,Beginner,https://www.amazon.com/Calculus-Early-Transcendentals-James-Stewart/dp/1337613924,"calculus, book, beginner"
Paul's Online Math Notes - Calculus,Website,Calculus,Beginner,https://tutorial.math.lamar.edu/,"calculus, website, beginner"
Khan Academy Calculus,Course,Calculus,Beginner,https://www.khanacademy.org/math/calculus-1,"calculus, khan, course"
MIT OpenCourseWare Calculus,Course,Calculus,Intermediate,https://ocw.mit.edu/courses/mathematics/18-01sc-single-variable-calculus-fall-2010/,"calculus, mit, course"
3Blue1Brown - Essence of Calculus,YouTube Video,Calculus,Beginner,https://www.youtube.com/playlist?list=PLZHQObOWTQDPKU6zOjrE1c2WXFzk7gCkE,"calculus, youtube, visual"
Discrete Mathematics and Its Applications by Kenneth H. Rosen,Book,Discrete Mathematics,Beginner,https://www.mheducation.com/highered/product/discrete-mathematics-its-applications-rosen/M9781260091991.html,"discrete math, book, beginner"
MIT OCW Discrete Mathematics,Course,Discrete Mathematics,Intermediate,https://ocw.mit.edu/courses/mathematics/18-310-principles-of-applied-mathematics-fall-2013/,"discrete math, mit, course"
Khan Academy Discrete Math,Course,Discrete Mathematics,Beginner,https://www.khanacademy.org/computing/computer-science/cryptography,"discrete math, khan, beginner"
Discrete Mathematics - Neso Academy,YouTube Video,Discrete Mathematics,Beginner,https://www.youtube.com/playlist?list=PLBlnK6fEyqRj9lz2V0N2dt6smNw3bX6eK,"discrete math, youtube, beginner"
GeeksforGeeks Discrete Mathematics,Website,Discrete Mathematics,Beginner,https://www.geeksforgeeks.org/discrete-mathematics/,"discrete math, gfg, beginner"
AWS Certified Solutions Architect Official Study Guide,Book,AWS,Intermediate,https://www.amazon.com/AWS-Certified-Solutions-Architect-Official/dp/111950421X,"aws, book, certification"
AWS Training and Certification,Course,AWS,Beginner,https://aws.amazon.com/training/,"aws, course, beginner"
AWS Documentation,Documentation,AWS,All,https://docs.aws.amazon.com/,"aws, documentation"
FreeCodeCamp AWS Cloud Practitioner Course,YouTube Video,AWS,Beginner,https://www.youtube.com/watch?v=3hLmDS179YE,"aws, youtube, beginner"
AWS Well-Architected Labs,Website,AWS,Intermediate,https://wellarchitectedlabs.com/,"aws, website, labs"
Cloud Computing Bible,Book,Cloud Computing,Beginner,https://www.wiley.com/en-us/Cloud+Computing+Bible-p-9780470903568,"cloud, book, beginner"
Coursera Cloud Computing Specialization,Course,Cloud Computing,Intermediate,https://www.coursera.org/specializations/cloud-computing,"cloud, coursera, specialization"
